name,description,homepage,resourceType,interfaceType,toolType,topic,function,contact,publication,collectionID
GO Consortium Enrichment Tool,A tool for GO term enrichment analysis.,http://geneontology.org/page/go-enrichment-analysis,Service,Web UI,Web application,Nucleic acids [topic_0077]|Proteins [topic_0078]|Ontology and terminology [topic_0089],Functional enrichment [operation_2436],http://geneontology.org/form/contact-go,doi:10.1038/75556|doi:10.1093/nar/gku1179,GO Tools
AmiGO 2,The GO Consortium GO browser and search engine.,http://amigo.geneontology.org/amigo,Service,Web UI,Web application,Ontology and terminology [topic_0089],Functional enrichment [operation_2436]|Protein sequence comparison [operation_2509]|Search and retrieval [operation_0224]|Ontology visualisation [operation_3559],http://geneontology.org/form/contact-go,doi:10.1093/bioinformatics/btn615,GO Tools
QuickGO,A fast browser for Gene Ontology terms and annotations.,http://www.ebi.ac.uk/QuickGO/,Service,Web UI,Web application,Ontology and terminology [topic_0089],Search and retrieval [operation_0224]|Ontology visualisation [operation_3559],goa@ebi.ac.uk,doi:10.1093/bioinformatics/btp536,GO Tools
GONUTS,Third-party documentation for new users of GO.,http://gowiki.tamu.edu/wiki/index.php/Main_Page,Service,Web UI,Web application,Ontology and terminology [topic_0089],Search and retrieval [operation_0224],ecoliwiki@gmail.com,doi:10.1093/nar/gkr907,GO Tools
Ontology Lookup Service,Ontology Lookup Service (OLS) is a web service interface to query multiple ontologies.,http://www.ebi.ac.uk/ols,Service,Web UI|HTTP WS,Database portal,Ontology and terminology [topic_0089],Search and retrieval [operation_0224]|Ontology visualisation [operation_3559],ols-support@ebi.ac.uk,doi:10.1186/1471-2105-7-97|doi:10.1093/nar/gkn252|doi:10.1093/nar/gkq331,GO Tools
InterProScan,Protein sequence analysis and classification,http://www.ebi.ac.uk/interpro/search/sequence-search,Service|Tool,Web UI|HTTP WS|SOAP WS|Command line,Web application|Web API|Web service|Command-line tool ,Ontology and terminology [topic_0089],Search and retrieval [operation_0224],http://www.ebi.ac.uk/support/interpro-general-query,doi:10.1093/bioinformatics/btu031,GO Tools
Generic GO Term Mapper,"A tool for mapping the granular GO annotations for genes in a list to a set of broader, high-level GO parents terms.",http://go.princeton.edu/cgi-bin/GOTermMapper,Service,Web UI,Web application,Ontology and terminology [topic_0089],Functional enrichment [operation_2436], gotools@genomics.princeton.edu,None,GO Tools
Generic GO Term Finder,A tool for finding significant GO terms shared among a list of genes from your organism of choice.,http://go.princeton.edu/cgi-bin/GOTermFinder,Service,Web UI,Web application,Ontology and terminology [topic_0089],Functional enrichment [operation_2436], gotools@genomics.princeton.edu,None,GO Tools
g:Profiler,A public web server for characterising and manipulating gene lists of high-throughput genomics.,http://biit.cs.ut.ee/gprofiler/,Service|Library|Tool,Web UI|HTTP WS|API,Web application|Library|Web API,Ontology and terminology [topic_0089],Functional enrichment [operation_2436],http://biit.cs.ut.ee/gprofiler/contact.cgi,doi:10.1093/nar/gkw199,GO Tools
BiNGO,A Java-based tool to determine which GO categories are statistically overrepresented in a set of genes or a subgraph in a biological network.,http://www.psb.ugent.be/cbd/papers/BiNGO/Home.html,Tool,Desktop GUI,Desktop application,Ontology and terminology [topic_0089],Functional enrichment [operation_2436],http://www.psb.ugent.be/cbd/papers/BiNGO/Team.html,doi:10.1093/bioinformatics/bti551,GO Tools
